figurative_type,uuid,phrase,category
simile,105630792313052583375153016437907916158434106742804870795694166722969200887828,as sweet as sugar,Figurative
idiom,74451295307390633786297178293997303119503443632559225862364855168488887891531,fall by the wayside,None
idiom,75719110335303837931776118686988527511876203527228117634496783378505227258599,high and mighty,Figurative
idiom,46442736648477785570448571847311781210967423717496512248446856782317992089750,far and away,Figurative
idiom,44243698008177084467657299155080942390657887480303442964935251726055568912849,bite someone's head off,Figurative+Literal
idiom,50914522356485639240758586366772887085986219723039659525430702499115864526287,moment of truth,None
idiom,36574447690517418296163976787734660787113664276314419115782718333469489213018,go bananas,Figurative
idiom,14028898928759384622067211894122150282823052039203414454864861263384957956394,could eat a horse,Figurative
metaphor,112294412858542473280493992495002123944928241168931818873604563918038948004786,she is a ray of sunshine,Figurative
idiom,137919916755979525330986101185258639469688628464327626105630000194376204209,sick as a parrot,None
idiom,50500005560523016671479830595481541875504129138156057115608379024983166353122,slippery slope,None
simile,50253783517836171360503748541749846597895489913340128702140627062565969383470,as dry as a desert,Partial Literal
idiom,72859611688158619200225185000360122002979867836235253546915452241585525609517,bright young thing,None
idiom,64086374476553583229091098239978810197681339272847476501176925500434259779224,from scratch,Figurative
metaphor,62547476161174598777351501956142939907543463470102695674891839589082059997916,heart of gold,Partial Literal
simile,1998324888142794586720951274738449913668198521060136194825318595707791175791,as slow as a snail,Partial Literal
metaphor,32352759887311018322674811395236146921833261095260808436460930979742507975549,heart of a lion,Figurative
metaphor,85060541084049283809415599375260519298419001125210938594107475188014964892901,jungle city,Figurative
idiom,86672045111056181553848357359285810395013842777452070562292186158649903762410,jockey for position,Figurative
simile,11843016841597553350379453507353325209111405054172357921877942872031629747061,as red as a tomato,Partial Literal
idiom,50507398760790990043715129118681148632131521943383852447555225657515797585902,fall off the back of a lorry,Partial Literal
idiom,17429059016906068723135763786239216400319829881351936313759178523519288256031,from pillar to post,Figurative
idiom,51622553802711585251776217391304090488501524546934655504671862021224452720505,full tilt,Figurative
simile,4892885108906251046356060282098302564277083659209956576571269068406399902529,as filthy as a pigsty,Partial Literal
idiom,37249219085435821568939815567090416668638907259508930234947824479512127275068,take the liberty,None
idiom,81494854215853673519861667776641101272822798931481470100847458230923262513726,set eyes on,Figurative+Literal
simile,6334025502011532441603337318976821526341263908808380162113891004883119469887,as busy as a bee,Partial Literal
simile,17189363002877895122832499334713149097039143384143857652073090701734995802467,as slow as a turtle,Figurative
idiom,47341425225652394271710202837610435719192898607952428216657955950861267575087,par for the course,None
idiom,108124566777109469597761014604461885645045962592303889277784162971476927896058,pump iron,Figurative+Literal
metaphor,1831053478749893288334958081744120837403923959830441068207801056904440799298,heart of stone,Figurative
idiom,66279703871011596343043631469311402411791814958021658787921272030979264357056,to a turn,Partial Literal
idiom,89717464759236676873827145444821207103447383552031047884131125416292641622586,meet someone halfway,No Category
idiom,99243864258848691454573799997488277702890443214390848298700346677608374176740,have other fish to fry,None
idiom,48939206500871190556644409111573994128736318529812749979782646814860954458020,everything but the kitchen sink,None
simile,64301115712387503831875737647159500540802642002283916683884207831117068570056,as dry as a desert,Partial Literal
idiom,92738697244779932335753397416575493159518729812631270348185101771594696448695,under fire,None
idiom,35663981849954028603484313824480429555476732347223857605365191796503754923072,up a tree,Figurative
metaphor,6041834579215915583194560943799013556206277619559019866950424264193100089360,sea of umbrellas,Figurative
idiom,26238739635906151535407567096460311022904168536898076318193987193956455652335,walk all over,Figurative
idiom,57562085557027813808516581082943572603113009083269483296409436518366193035164,come to terms with,Figurative
simile,87965391465139558598788192831788031165244335464369673581112439860586547394590,as sour as vinegar,Partial Literal
simile,13316696876221428726943199956474576707697640316758594522540339491938400555756,as helpless as a baby,Partial Literal
idiom,91555401289368225907476940369510050649483097844501671204667300857971588907865,cut the mustard,None
idiom,32459431938436299812353982944477879962398044980935674603789794229556244327559,take the bull by the horns,Figurative
metaphor,71507164618192266617040043176249635915432366847879476060986690371481273770332,blanket of bullets,Partial Literal
idiom,89915666847042470069112879530992629479987852657517636831332004616066542844705,out of sight,No Category
simile,91415041198237352517820572129674650721604694635967792606306450350635502881428,as pale as a ghost,Figurative
simile,25479492703672856555112599121811003004303173608770983660386696825664262897348,as helpless as a baby,Partial Literal
simile,4782596822551499143182613101410935038036278407646696774697608748335030139110,as fresh as a daisy,Figurative
idiom,19058822469416250446681471630399759671419009168841262906397226885661266398695,live in sin,None
idiom,69629264349723268336180429232787461672029523883585114716026955603140176347764,fun and games,Figurative+Literal
metaphor,57177044656246249914135480564299355783804443013183110968046265168592324618194,homework is a breeze,Figurative
simile,52438739825611931575598667089820100632854084000875652339772138180092757169144,as red as a cherry,Figurative
idiom,61417330300817840494722745269688194282962444186015589088590843417564892098341,out of sight,Figurative
simile,81766114864185019582541765710029355423932471135348012858140772056127143517892,as wild as an animal,Figurative
idiom,6463161405265708933000532272205543326803967622767893245934102795993145694053,go to seed,None
simile,103912049912762789044849010266430416113812117260076151613031354732584261988553,as bright as the sun,Figurative
idiom,32561405158995007932355549076164092552435888785359618257234460267929315261445,count sheep,None
idiom,69332450285622707727880165444758872667083874760870146604791788084064283193668,laughing stock,None
idiom,80921678482403128675065388288020759382220883896857815570364317695034165748298,rank and file,Figurative
idiom,58339985733294664810096710668934419208095801548889927448568451807107353584736,go for broke,None
simile,32335517426304733145632887742933768799576806867968561586327712975952192621012,as fast as a cheetah,Figurative
idiom,93841484991792459857258684588447447805719371104253391102596748034435682537192,heads will roll,Partial Literal
metaphor,31183417285724766654245999263766270585312071040620580351382287998005196110562,light of my life,Partial Literal
idiom,10283894810339611584025615728505537912706986707406427616464641423687683423785,ride high,Figurative+Literal
idiom,90137562248684310977661361965156152169349236504087960803161806774450124392256,haul someone over the coals,Figurative
idiom,22461219679583487262342350428306441003088183670261945071686549138817360973180,make head or tail of,No Category
idiom,70181662091057461181491295838601811915693042620737887396671231253405301422558,on the skids,None
simile,94039721336536830304860230843544746563200817273011809943658075281106085278901,as wild as an animal,Figurative
idiom,51982316083785533586899986506692599610046190243363011531299781076437246084701,crystal clear,None
idiom,92671347213707837425256131077548819127879332055069016110368632411886951422856,keep tabs on,Figurative
